GEOID1,GEOID2,FULL1_NAME,FULL2_NAME,variable,estimate,moe,centroid1,centroid2,GISJOIN.x,YEAR.x,NAME_E.x,median_cost.x,YEAR.y,CBSAA.y,NAME_E.y,median_cost.y,housing_chg,GISJOIN.y,CBSA,chg_white_2010_2020,chg_black_2010_2020,chg_aiak_2010_2020,chg_asian_2010_2020,chg_nhpi_2010_2020,chg_other_2010_2020,chg_twoplus_2010_2020
42660,11260,"Seattle-Tacoma-Bellevue, WA Metro Area","Anchorage, AK Metro Area",MOVEDOUT,518,196,"c(-121.881387433741, 47.5574033466574)","c(-149.552252570626, 62.2240717091675)",G11260,2011-2015,"Anchorage, AK Metro Area",272300,2016-2020,11260,"Anchorage, AK Metro Area",301100,28800,G11260,"Anchorage, AK Metro Area",-20557,-1385,2474,4529,4385,4346,23716
42660,11460,"Seattle-Tacoma-Bellevue, WA Metro Area","Ann Arbor, MI Metro Area",MOVEDOUT,199,148,"c(-121.881387433741, 47.5574033466574)","c(-83.8387711040476, 42.2532261824749)",G11460,2011-2015,"Ann Arbor, MI Metro Area",208200,2016-2020,11460,"Ann Arbor, MI Metro Area",278500,70300,G11460,"Ann Arbor, MI Metro Area",807.8999999999942,-948.010000000002,16,6523,73,3270,17725
42660,11540,"Seattle-Tacoma-Bellevue, WA Metro Area","Appleton, WI Metro Area",MOVEDOUT,17,18,"c(-121.881387433741, 47.5574033466574)","c(-88.3711473006659, 44.2890277094746)",G11540,2011-2015,"Appleton, WI Metro Area",158100,2016-2020,11540,"Appleton, WI Metro Area",180300,22200,G11540,"Appleton, WI Metro Area",3083,1515,210,1635,73,1803,9162
42660,11700,"Seattle-Tacoma-Bellevue, WA Metro Area","Asheville, NC Metro Area",MOVEDOUT,31,46,"c(-121.881387433741, 47.5574033466574)","c(-82.6826445426512, 35.6006301219426)",G11700,2011-2015,"Asheville, NC Metro Area",182500,2016-2020,11700,"Asheville, NC Metro Area",232400,49900,G11700,"Asheville, NC Metro Area",9295.619999999995,278.02000000000044,494.98,1402,639.97,9059.93,22998.26
42660,12020,"Seattle-Tacoma-Bellevue, WA Metro Area","Athens-Clarke County, GA Metro Area",MOVEDOUT,73,64,"c(-121.881387433741, 47.5574033466574)","c(-83.2137868099647, 33.9490060817943)",G12020,2011-2015,"Athens-Clarke County, GA Metro Area",157800,2016-2020,12020,"Athens-Clarke County, GA Metro Area",193700,35900,G12020,"Athens-Clarke County, GA Metro Area",6887.079999999987,1066,387,1565.0500000000002,6,2942,10022.07
42660,12060,"Seattle-Tacoma-Bellevue, WA Metro Area","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",MOVEDOUT,918,466,"c(-121.881387433741, 47.5574033466574)","c(-84.4374996265854, 33.6970734409676)",G12060,2011-2015,"Atlanta-Sandy Springs-Roswell, GA Metro Area",168100,2016-2020,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",233700,65600,G12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",-161799.0299999998,336178.55000000005,12414,144778.08000000002,381,125679.14000000001,343272.2
42660,12100,"Seattle-Tacoma-Bellevue, WA Metro Area","Atlantic City-Hammonton, NJ Metro Area",MOVEDOUT,0,NA,"c(-121.881387433741, 47.5574033466574)","c(-74.6337332021301, 39.4688338138396)",G12100,2011-2015,"Atlantic City-Hammonton, NJ Metro Area",225600,2016-2020,12100,"Atlantic City-Hammonton, NJ Metro Area",216600,-9000,G12100,"Atlantic City-Hammonton, NJ Metro Area",-22769.54999999999,-2618.989999999998,203,1188.9799999999996,250,6973.990000000002,16757.97
42660,12220,"Seattle-Tacoma-Bellevue, WA Metro Area","Auburn-Opelika, AL Metro Area",MOVEDOUT,0,NA,"c(-121.881387433741, 47.5574033466574)","c(-85.3555627143245, 32.6011364705819)",G12220,2011-2015,"Auburn-Opelika, AL Metro Area",154300,2016-2020,12220,"Auburn-Opelika, AL Metro Area",173700,19400,G12220,"Auburn-Opelika, AL Metro Area",11645,7669,275,4914,15,2519,6957
42660,12260,"Seattle-Tacoma-Bellevue, WA Metro Area","Augusta-Richmond County, GA-SC Metro Area",MOVEDOUT,33,29,"c(-121.881387433741, 47.5574033466574)","c(-81.9465365274209, 33.4351990544738)",G12260,2011-2015,"Augusta-Richmond County, GA-SC Metro Area",128200,2016-2020,12260,"Augusta-Richmond County, GA-SC Metro Area",153300,25100,G12260,"Augusta-Richmond County, GA-SC Metro Area",-3238.780000000028,13754.640000000014,173,3611,183,6095.76,25870.04
42660,12420,"Seattle-Tacoma-Bellevue, WA Metro Area","Austin-Round Rock-GeorgeTown, TX Metro Area",MOVEDOUT,1673,416,"c(-121.881387433741, 47.5574033466574)","c(-97.6544465797615, 30.2626092051486)",G12420,2011-2015,"Austin-Round Rock, TX Metro Area",208700,2016-2020,12420,"Austin-Round Rock-Georgetown, TX Metro Area",303300,94600,G12420,"Austin-Round Rock-San Marcos, TX Metro Area",58885.14999999991,32683.73000000001,7541.1500000000015,79327.01999999999,697,66832.42000000001,321179.47
42660,12540,"Seattle-Tacoma-Bellevue, WA Metro Area","Bakersfield, CA Metro Area",MOVEDOUT,707,548,"c(-121.881387433741, 47.5574033466574)","c(-118.729900017101, 35.3428487179529)",G12540,2011-2015,"Bakersfield, CA Metro Area",167400,2016-2020,12540,"Bakersfield, CA Metro Area",226600,59200,G12540,"Bakersfield-Delano, CA Metro Area",-128032.03999999998,1209,5487,11931,256,69839.07,108913.98000000001
42660,12580,"Seattle-Tacoma-Bellevue, WA Metro Area","Baltimore-Columbia-Towson, MD Metro Area",MOVEDOUT,673,257,"c(-121.881387433741, 47.5574033466574)","c(-76.551007699503, 39.3055415697504)",G12580,2011-2015,"Baltimore-Columbia-Towson, MD Metro Area",277500,2016-2020,12580,"Baltimore-Columbia-Towson, MD Metro Area",307200,29700,G12580,"Baltimore-Towson, MD Metro Area",-151281.71999999997,32139.150000000023,2130.01,57596.07999999999,-133.99,66722,126851.97
42660,12620,"Seattle-Tacoma-Bellevue, WA Metro Area","Bangor, ME Metro Area",MOVEDOUT,66,62,"c(-121.881387433741, 47.5574033466574)","c(-68.6494281284415, 45.4005123272593)",G12620,2011-2015,"Bangor, ME Metro Area",137400,2016-2020,12620,"Bangor, ME Metro Area",148300,10900,G12620,"Bangor, ME Metro Area",-7491,348,-378,443,2,563,4789
42660,12700,"Seattle-Tacoma-Bellevue, WA Metro Area","Barnstable Town, MA Metro Area",MOVEDOUT,14,15,"c(-121.881387433741, 47.5574033466574)","c(-70.2381365830172, 41.7734491612184)",G12700,2011-2015,"Barnstable Town, MA Metro Area",363500,2016-2020,12700,"Barnstable Town, MA Metro Area",414000,50500,G12700,"Barnstable Town, MA Metro Area",-3735.079999999987,2541,-100,936,-4,2289,11181
42660,12940,"Seattle-Tacoma-Bellevue, WA Metro Area","Baton Rouge, LA Metro Area",MOVEDOUT,69,80,"c(-121.881387433741, 47.5574033466574)","c(-91.1309691903327, 30.5703137889327)",G12940,2011-2015,"Baton Rouge, LA Metro Area",161800,2016-2020,12940,"Baton Rouge, LA Metro Area",190000,28200,G12940,"Baton Rouge, LA Metro Area",-17077.29999999999,10552.25,474,3492,-27,15556.98,34073.97
42660,13140,"Seattle-Tacoma-Bellevue, WA Metro Area","Beaumont-Port Arthur, TX Metro Area",MOVEDOUT,28,37,"c(-121.881387433741, 47.5574033466574)","c(-94.2013601154407, 30.0764714198905)",G13140,2011-2015,"Beaumont-Port Arthur, TX Metro Area",97700,2016-2020,13140,"Beaumont-Port Arthur, TX Metro Area",120900,23200,G13140,"Beaumont-Port Arthur, TX Metro Area",-27705,525,481,1894,34,9406,24185
42660,13220,"Seattle-Tacoma-Bellevue, WA Metro Area","Beckley, WV Metro Area",MOVEDOUT,16,24,"c(-121.881387433741, 47.5574033466574)","c(-81.2486345590091, 37.7713611267572)",G13220,2011-2015,"Beckley, WV Metro Area",90100,2016-2020,13220,"Beckley, WV Metro Area",104100,14000,G13220,"Beckley, WV Micro Area",-5775,-621,-58,113,-7,121,1959
42660,13380,"Seattle-Tacoma-Bellevue, WA Metro Area","Bellingham, WA Metro Area",MOVEDOUT,3993,616,"c(-121.881387433741, 47.5574033466574)","c(-121.872829974509, 48.8297449981796)",G13380,2011-2015,"Bellingham, WA Metro Area",274700,2016-2020,13380,"Bellingham, WA Metro Area",369000,94300,G13380,"Bellingham, WA Metro Area",4129.9800000000105,418,594,3037,233,3115,14180
42660,13460,"Seattle-Tacoma-Bellevue, WA Metro Area","Bend, OR Metro Area",MOVEDOUT,539,401,"c(-121.881387433741, 47.5574033466574)","c(-121.227891775105, 43.9148834523624)",G13460,2011-2015,"Bend-Redmond, OR Metro Area",253400,2016-2020,13460,"Bend, OR Metro Area",389300,135900,G13460,"Bend, OR Metro Area",23767.48000000001,319,114,1005,62,1989.9899999999998,13268.830000000002
42660,13740,"Seattle-Tacoma-Bellevue, WA Metro Area","Billings, MT Metro Area",MOVEDOUT,160,93,"c(-121.881387433741, 47.5574033466574)","c(-108.602059278083, 45.6287004043677)",G13740,2011-2015,"Billings, MT Metro Area",193500,2016-2020,13740,"Billings, MT Metro Area",240700,47200,G13740,"Billings, MT Metro Area",5664.779999999999,363,1372,380,115,1111,8149.379999999999
42660,13820,"Seattle-Tacoma-Bellevue, WA Metro Area","Birmingham-Hoover, AL Metro Area",MOVEDOUT,54,76,"c(-121.881387433741, 47.5574033466574)","c(-86.8138680220955, 33.4638408721977)",G13820,2011-2015,"Birmingham-Hoover, AL Metro Area",146200,2016-2020,13820,"Birmingham-Hoover, AL Metro Area",171400,25200,G13820,"Birmingham-Hoover, AL Metro Area",-22877,13798,1478,5746,20,11390,43029
42660,13900,"Seattle-Tacoma-Bellevue, WA Metro Area","Bismarck, ND Metro Area",MOVEDOUT,44,51,"c(-121.881387433741, 47.5574033466574)","c(-100.905133973237, 46.8370145936504)",G13900,2011-2015,"Bismarck, ND Metro Area",185100,2016-2020,13900,"Bismarck, ND Metro Area",254900,69800,G13900,"Bismarck, ND Metro Area",12939,2146,1187,783,306,1295,4314
42660,13980,"Seattle-Tacoma-Bellevue, WA Metro Area","Blacksburg-Christiansburg, VA Metro Area",MOVEDOUT,32,44,"c(-121.881387433741, 47.5574033466574)","c(-80.5924292270095, 37.1865962857846)",G13980,2011-2015,"Blacksburg-Christiansburg-Radford, VA Metro Area",162500,2016-2020,13980,"Blacksburg-Christiansburg, VA Metro Area",189300,26800,G13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",-8472.070000000007,1236,27.970000000000027,3216.76,19,1469.9699999999998,5923.57
42660,14020,"Seattle-Tacoma-Bellevue, WA Metro Area","Bloomington, IN Metro Area",MOVEDOUT,29,47,"c(-121.881387433741, 47.5574033466574)","c(-86.7918689438515, 39.1543279987426)",G14020,2011-2015,"Bloomington, IN Metro Area",152300,2016-2020,14020,"Bloomington, IN Metro Area",177700,25400,G14020,"Bloomington, IN Metro Area",-11163,677,-37,1170,-17,992,7506
42660,14260,"Seattle-Tacoma-Bellevue, WA Metro Area","Boise City, ID Metro Area",MOVEDOUT,1136,270,"c(-121.881387433741, 47.5574033466574)","c(-116.143239962983, 43.016164971549)",G14260,2011-2015,"Boise City, ID Metro Area",167800,2016-2020,14260,"Boise City, ID Metro Area",268500,100700,G14260,"Boise City-Nampa, ID Metro Area",69635.51000000001,4197,1304,5128,779,11496,55618.020000000004
42660,14460,"Seattle-Tacoma-Bellevue, WA Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",MOVEDOUT,1030,226,"c(-121.881387433741, 47.5574033466574)","c(-71.0219901941539, 42.5181538511535)",G14460,2011-2015,"Boston-Cambridge-Newton, MA-NH Metro Area",368900,2016-2020,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",461500,92600,G14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",-208604.5,32762.159999999974,3524.01,134025.68,53,132281.99,295193.81
42660,14500,"Seattle-Tacoma-Bellevue, WA Metro Area","Boulder, CO Metro Area",MOVEDOUT,513,240,"c(-121.881387433741, 47.5574033466574)","c(-105.358114213131, 40.0926378656974)",G14500,2011-2015,"Boulder, CO Metro Area",368800,2016-2020,14500,"Boulder, CO Metro Area",539100,170300,G14500,"Boulder, CO Metro Area",-923.5799999999872,861.0100000000002,677,4314.779999999999,101,6020.470000000001,25118.230000000003
42660,14540,"Seattle-Tacoma-Bellevue, WA Metro Area","Bowling Green, KY Metro Area",MOVEDOUT,10,19,"c(-121.881387433741, 47.5574033466574)","c(-86.357015760847, 37.0712100341569)",G14540,2011-2015,"Bowling Green, KY Metro Area",124600,2016-2020,14540,"Bowling Green, KY Metro Area",161500,36900,G14540,"Bowling Green, KY Metro Area",4043,2551,161,4149,559,2867,6397
42660,14740,"Seattle-Tacoma-Bellevue, WA Metro Area","Bremerton-Silverdale-Port Orchard, WA Metro Area",MOVEDOUT,6264,986,"c(-121.881387433741, 47.5574033466574)","c(-122.648996254481, 47.6398306498888)",G14740,2011-2015,"Bremerton-Silverdale, WA Metro Area",258700,2016-2020,14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",362700,104000,G14740,"Bremerton-Silverdale, WA Metro Area",-973.7799999999988,1185,266,2015.9899999999998,658.9899999999998,4137.97,17184.72
42660,14860,"Seattle-Tacoma-Bellevue, WA Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",MOVEDOUT,26,26,"c(-121.881387433741, 47.5574033466574)","c(-73.3712044616067, 41.2249601785075)",G14860,2011-2015,"Bridgeport-Stamford-Norwalk, CT Metro Area",416000,2016-2020,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",433000,17000,G14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",-101716,7439,1985,9057,-95,45113,78807
42660,15180,"Seattle-Tacoma-Bellevue, WA Metro Area","Brownsville-Harlingen, TX Metro Area",MOVEDOUT,93,114,"c(-121.881387433741, 47.5574033466574)","c(-97.4528596143179, 26.151501188623)",G15180,2011-2015,"Brownsville-Harlingen, TX Metro Area",79300,2016-2020,15180,"Brownsville-Harlingen, TX Metro Area",89700,10400,G15180,"Brownsville-Harlingen, TX Metro Area",-190716,-79,1195,117,36,40228,164016
42660,15380,"Seattle-Tacoma-Bellevue, WA Metro Area","Buffalo-Cheektowaga, NY Metro Area",MOVEDOUT,146,113,"c(-121.881387433741, 47.5574033466574)","c(-78.7753843985466, 43.0378677974412)",G15380,2011-2015,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",125000,2016-2020,15380,"Buffalo-Cheektowaga, NY Metro Area",155800,30800,G15380,"Buffalo-Niagara Falls, NY Metro Area",-57533,12753,-171,23231,46,10076,42991
42660,15500,"Seattle-Tacoma-Bellevue, WA Metro Area","Burlington, NC Metro Area",MOVEDOUT,0,NA,"c(-121.881387433741, 47.5574033466574)","c(-79.399457049248, 36.0440521299717)",G15500,2011-2015,"Burlington, NC Metro Area",138100,2016-2020,15500,"Burlington, NC Metro Area",160900,22800,G15500,"Burlington, NC Metro Area",-1667.7899999999936,5605,405,1009,47,6141.07,8580.06
42660,15540,"Seattle-Tacoma-Bellevue, WA Metro Area","Burlington-South Burlington, VT Metro Area",MOVEDOUT,13,16,"c(-121.881387433741, 47.5574033466574)","c(-73.0307789173467, 44.6871978411335)",G15540,2011-2015,"Burlington-South Burlington, VT Metro Area",253900,2016-2020,15540,"Burlington-South Burlington, VT Metro Area",285200,31300,G15540,"Burlington-South Burlington, VT Metro Area",-555.9500000000116,1742,-51.85000000000002,2946.01,3,1139,9088.29
42660,15940,"Seattle-Tacoma-Bellevue, WA Metro Area","Canton-Massillon, OH Metro Area",MOVEDOUT,0,NA,"c(-121.881387433741, 47.5574033466574)","c(-81.2535061275313, 40.718647391361)",G15940,2011-2015,"Canton-Massillon, OH Metro Area",122100,2016-2020,15940,"Canton-Massillon, OH Metro Area",138300,16200,G15940,"Canton-Massillon, OH Metro Area",-22734,564.1599999999999,187,431,38,2428,16233.439999999999
42660,15980,"Seattle-Tacoma-Bellevue, WA Metro Area","Cape Coral-Fort Myers, FL Metro Area",MOVEDOUT,116,93,"c(-121.881387433741, 47.5574033466574)","c(-81.9154526187217, 26.5756896241698)",G15980,2011-2015,"Cape Coral-Fort Myers, FL Metro Area",157400,2016-2020,15980,"Cape Coral-Fort Myers, FL Metro Area",235300,77900,G15980,"Cape Coral-Fort Myers, FL Metro Area",17142.880000000005,7847,1635,4629,-68,26571.160000000003,84313.45
42660,16020,"Seattle-Tacoma-Bellevue, WA Metro Area","Cape Girardeau, MO-IL Metro Area",MOVEDOUT,16,30,"c(-121.881387433741, 47.5574033466574)","c(-89.7698409591933, 37.3244933614149)",G16020,2011-2015,"Cape Girardeau, MO-IL Metro Area",128700,2016-2020,16020,"Cape Girardeau, MO-IL Metro Area",152300,23600,G16020,"Cape Girardeau-Jackson, MO-IL Metro Area",-3081.0099999999948,-118,-5,403,-11,171,3883
42660,16060,"Seattle-Tacoma-Bellevue, WA Metro Area","Carbondale-Marion, IL Metro Area",MOVEDOUT,3,9,"c(-121.881387433741, 47.5574033466574)","c(-89.3821156573587, 37.7851396563105)",G16060,2011-2015,"Carbondale-Marion, IL Metro Area",100500,2016-2020,16060,"Carbondale-Marion, IL Metro Area",118300,17800,G16060,"Carbondale, IL Micro Area",-8703.870000000003,-991,-19,146,-1,446,1879.0100000000002
42660,16180,"Seattle-Tacoma-Bellevue, WA Metro Area","Carson City, NV Metro Area",MOVEDOUT,95,108,"c(-121.881387433741, 47.5574033466574)","c(-119.747421344004, 39.1511466200944)",G16180,2011-2015,"Carson City, NV Metro Area",186000,2016-2020,16180,"Carson City, NV Metro Area",299900,113900,G16180,"Carson City, NV Metro Area",-4955,88,153,235,34,1888,5922
42660,16220,"Seattle-Tacoma-Bellevue, WA Metro Area","Casper, WY Metro Area",MOVEDOUT,62,59,"c(-121.881387433741, 47.5574033466574)","c(-106.798493804153, 42.9622404457146)",G16220,2011-2015,"Casper, WY Metro Area",185600,2016-2020,16220,"Casper, WY Metro Area",215400,29800,G16220,"Casper, WY Metro Area",-696,126,272,139,53,455,4156
42660,16300,"Seattle-Tacoma-Bellevue, WA Metro Area","Cedar Rapids, IA Metro Area",MOVEDOUT,236,282,"c(-121.881387433741, 47.5574033466574)","c(-91.6313350511134, 42.0914743689682)",G16300,2011-2015,"Cedar Rapids, IA Metro Area",146000,2016-2020,16300,"Cedar Rapids, IA Metro Area",159800,13800,G16300,"Cedar Rapids, IA Metro Area",-3208.0199999999895,8148,-23,1554,348,1701,10060
42660,16580,"Seattle-Tacoma-Bellevue, WA Metro Area","Champaign-Urbana, IL Metro Area",MOVEDOUT,93,95,"c(-121.881387433741, 47.5574033466574)","c(-88.294535719762, 40.2266891347847)",G16580,2011-2015,"Champaign-Urbana, IL Metro Area",143900,2016-2020,16580,"Champaign-Urbana, IL Metro Area",163900,20000,G16580,"Champaign-Urbana, IL Metro Area",-20437.04999999999,3745,228,6576,-55,3578,10545.99
42660,16620,"Seattle-Tacoma-Bellevue, WA Metro Area","Charleston, WV Metro Area",MOVEDOUT,0,NA,"c(-121.881387433741, 47.5574033466574)","c(-81.6486587798874, 38.2879072422601)",G16620,2011-2015,"Charleston, WV Metro Area",98600,2016-2020,16620,"Charleston, WV Metro Area",110100,11500,G16620,"Charleston, WV Metro Area",-25590.859999999986,-306,-11,342,-8,1087,8640.01
42660,16700,"Seattle-Tacoma-Bellevue, WA Metro Area","Charleston-North Charleston, SC Metro Area",MOVEDOUT,384,217,"c(-121.881387433741, 47.5574033466574)","c(-80.0105850802583, 33.0165074669885)",G16700,2011-2015,"Charleston-North Charleston, SC Metro Area",189600,2016-2020,16700,"Charleston-North Charleston, SC Metro Area",249800,60200,G16700,"Charleston-North Charleston-Summerville, SC Metro Area",75847,-295,1088,5516,122,14492,38259
42660,16740,"Seattle-Tacoma-Bellevue, WA Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",MOVEDOUT,618,254,"c(-121.881387433741, 47.5574033466574)","c(-80.7323764117215, 35.1095690832407)",G16740,2011-2015,"Charlotte-Concord-Gastonia, NC-SC Metro Area",166000,2016-2020,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",216700,50700,G16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",38227.46999999997,81067.87,3838,50864.3,130,61130.82999999999,118483.28
42660,16820,"Seattle-Tacoma-Bellevue, WA Metro Area","Charlottesville, VA Metro Area",MOVEDOUT,41,40,"c(-121.881387433741, 47.5574033466574)","c(-78.5930737968271, 37.9502386975848)",G16820,2011-2015,"Charlottesville, VA Metro Area",261300,2016-2020,16820,"Charlottesville, VA Metro Area",304700,43400,G16820,"Charlottesville, VA Metro Area",2610.399999999994,-1323.7900000000009,109.63999999999999,5180.219999999999,1.9899999999999949,2882,10474.29
42660,16860,"Seattle-Tacoma-Bellevue, WA Metro Area","Chattanooga, TN-GA Metro Area",MOVEDOUT,115,96,"c(-121.881387433741, 47.5574033466574)","c(-85.3591287639862, 35.0519851091891)",G16860,2011-2015,"Chattanooga, TN-GA Metro Area",144700,2016-2020,16860,"Chattanooga, TN-GA Metro Area",169600,24900,G16860,"Chattanooga, TN-GA Metro Area",1684.9099999999744,-2881,794,2638,-74,6501,25842.07
42660,16940,"Seattle-Tacoma-Bellevue, WA Metro Area","Cheyenne, WY Metro Area",MOVEDOUT,72,118,"c(-121.881387433741, 47.5574033466574)","c(-104.689615596111, 41.3070652002949)",G16940,2011-2015,"Cheyenne, WY Metro Area",190000,2016-2020,16940,"Cheyenne, WY Metro Area",239900,49900,G16940,"Cheyenne, WY Metro Area",-607,224,245,320,30,1060,7502
42660,16980,"Seattle-Tacoma-Bellevue, WA Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",MOVEDOUT,1632,359,"c(-121.881387433741, 47.5574033466574)","c(-87.8296246823797, 41.8248387049856)",G16980,2011-2015,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",214400,2016-2020,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",247400,33000,G16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",-986269.6399999997,-69041,51048.2,153093,463,255236,752868.21
42660,17020,"Seattle-Tacoma-Bellevue, WA Metro Area","Chico, CA Metro Area",MOVEDOUT,124,94,"c(-121.881387433741, 47.5574033466574)","c(-121.600671748435, 39.6669293767962)",G17020,2011-2015,"Chico, CA Metro Area",221700,2016-2020,17020,"Chico, CA Metro Area",304700,83000,G17020,"Chico, CA Metro Area",-30539,229,97,1476,121,6007,14241
42660,17140,"Seattle-Tacoma-Bellevue, WA Metro Area","Cincinnati, OH-KY-IN Metro Area",MOVEDOUT,190,93,"c(-121.881387433741, 47.5574033466574)","c(-84.4646155985193, 39.0810970953041)",G17140,2011-2015,"Cincinnati, OH-KY-IN Metro Area",153400,2016-2020,17140,"Cincinnati, OH-KY-IN Metro Area",175300,21900,G17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",-41553.10000000009,17394.45000000001,1875,27216.570000000007,636,24698.75,89363.48
